state,region_us_census,costume_rank1,costume_rank2,costume_rank3,costume_rank4,costume_rank5,candy_rank1,pounds_1,candy_rank2,pounds_2,candy_rank3,pounds_3
Alaska,West,Ninja,Monster,Wonder Woman,Clown,Rabbit,Twix,5002,Blow Pops,4278,Milky Way,4082
Alabama,South,Wonder Woman,Harley Quinn,Mouse,Superhero,Clown,Hershey's Mini Bars,49755,Candy Corn,47882,Tootsie Pops,39822
Arkansas,South,Clown,Harley Quinn,Unicorn,Pirate,Wonder Woman,Skittles,203647,Jolly Ranchers,189462,Butterfinger,76353
Arizona,West,Wonder Woman,Clown,Moana,Rabbit,Unicorn,Hot Tamales,750322,Snickers,741779,Hershey Kisses,611877
California,West,Wonder Woman,Clown,Unicorn,Harley Quinn,Rabbit,Skittles,1574770,M&M's,1188726,Reese's Cups,977453
Colorado,West,Wonder Woman,Harley Quinn,Rabbit,Dinosaur,Unicorn,Twix,123646,Hershey Kisses,108326,Milky Way,89273
Connecticut,Northeast,Wonder Woman,Rabbit,Witch,Unicorn,Zombie,Milky Way,2893,Almond Joy,2087,M&M's,1287
District of Columbia,South,Harley Quinn,Wonder Woman,Zombie,Clown,Unicorn,Tootsie Pops,25643,M&M's,21392,Blow Pops,19827
Delaware,South,IT,Harley Quinn,Monster,Clown,Mouse,Skittles,21336,Candy Corn,16703,Life Savers,11987
Florida,South,Wonder Woman,Harley Quinn,Moana,Clown,Unicorn,Skittles,563882,Snickers,532998,Reese's Cups,403785
Georgia,South,Harley Quinn,Wonder Woman,Clown,Rabbit,Unicorn,Jolly Ranchers,142876,Swedish Fish,123827,Hershey Kisses,60728
Hawaii,West,Wonder Woman,Doll,Dinosaur,Princess Jasmine,Moana,Skittles,27641,Hershey's Mini Bars,24567,Butterfinger,19274
Iowa,Midwest,Wonder Woman,Clown,Harley Quinn,Unicorn,Ninja,Candy Corn,63472,M&M's,51987,Reese's Cups,32872
Idaho,West,Rabbit,Wonder Woman,Dinosaur,Mouse,Unicorn,Candy Corn,86352,Starburst,67929,Snickers,42883
Illinois,Midwest,Wonder Woman,Harley Quinn,Clown,Unicorn,Dinosaur,Kit Kat,172663,Sour Patch Kids,136257,Snickers,102364
Indiana,Midwest,Dinosaur,Harley Quinn,Clown,Wonder Woman,Witch,Hot Tamales,98275,Starburst,83620,Jolly Ranchers,67291
