state,rank,costume,candy,pounds_candy_sold
Alaska,first,Ninja,Twix,5002
Alaska,second,Monster,Blow Pops,4278
Alaska,third,Wonder Woman,Milky Way,4082
Alabama,first,Wonder Woman,Hershey's Mini Bars,49755
Alabama,second,Harley Quinn,Candy Corn,47882
Alabama,third,Mouse,Tootsie Pops,39822
Arkansas,first,Clown,Skittles,203647
Arkansas,second,Harley Quinn,Jolly Ranchers,189462
Arkansas,third,Unicorn,Butterfinger,76353
Arizona,first,Wonder Woman,Hot Tamales,750322
Arizona,second,Clown,Snickers,741779
Arizona,third,Moana,Hershey Kisses,611877
California,first,Wonder Woman,Skittles,1574770
California,second,Clown,M&M's,1188726
California,third,Unicorn,Reese's Cups,977453
Colorado,first,Wonder Woman,Twix,123646
Colorado,second,Harley Quinn,Hershey Kisses,108326
Colorado,third,Rabbit,Milky Way,89273
Connecticut,first,Wonder Woman,Milky Way,2893
Connecticut,second,Rabbit,Almond Joy,2087
Connecticut,third,Witch,M&M's,1287
District of Columbia,first,Harley Quinn,Tootsie Pops,25643
District of Columbia,second,Wonder Woman,M&M's,21392
District of Columbia,third,Zombie,Blow Pops,19827
Delaware,first,IT,Skittles,21336
Delaware,second,Harley Quinn,Candy Corn,16703
Delaware,third,Monster,Life Savers,11987
Florida,first,Wonder Woman,Skittles,563882
Florida,second,Harley Quinn,Snickers,532998
Florida,third,Moana,Reese's Cups,403785
Georgia,first,Harley Quinn,Jolly Ranchers,142876
Georgia,second,Wonder Woman,Swedish Fish,123827
Georgia,third,Clown,Hershey Kisses,60728
Hawaii,first,Wonder Woman,Skittles,27641
Hawaii,second,Doll,Hershey's Mini Bars,24567
Hawaii,third,Dinosaur,Butterfinger,19274
Iowa,first,Wonder Woman,Candy Corn,63472
Iowa,second,Clown,M&M's,51987
Iowa,third,Harley Quinn,Reese's Cups,32872
Idaho,first,Rabbit,Candy Corn,86352
Idaho,second,Wonder Woman,Starburst,67929
Idaho,third,Dinosaur,Snickers,42883
Illinois,first,Wonder Woman,Kit Kat,172663
Illinois,second,Harley Quinn,Sour Patch Kids,136257
Illinois,third,Clown,Snickers,102364
Indiana,first,Dinosaur,Hot Tamales,98275
Indiana,second,Harley Quinn,Starburst,83620
Indiana,third,Clown,Jolly Ranchers,67291
Kansas,first,Wonder Woman,Reese's Cups,248726
Kansas,second,Clown,M&M's,212884
Kansas,third,Harley Quinn,Snickers,187363
Kentucky,first,Clown,Swedish Fish,78262
Kentucky,second,Wonder Woman,Tootsie Pops,60917
Kentucky,third,Harley Quinn,Reese's Cups,32878
Louisiana,first,Wonder Woman,Lemonheads,112883
Louisiana,second,Witch,Reese's Cups,98273
Louisiana,third,Harley Quinn,Blow Pops,76239
Massachusetts,first,Wonder Woman,Butterfinger,69223
Massachusetts,second,Rabbit,Sour Patch Kids,63728
Massachusetts,third,Unicorn,Dubble Bubble Gum,47626
Maryland,first,Wonder Woman,Reese's Cups,38726
Maryland,second,Harley Quinn,Milky Way,30287
Maryland,third,Unicorn,Hershey Kisses,20188
Maine,first,Superhero,Sour Patch Kids,59873
Maine,second,Witch,Starburst,51899
Maine,third,Batman,M&M's,32747
Michigan,first,Wonder Woman,Starburst,114879
Michigan,second,Harley Quinn,Candy Corn,106295
Michigan,third,Clown,Skittles,86221
Minnesota,first,Zombie,Skittles,191826
Minnesota,second,Harley Quinn,Tootsie Pops,176038
Minnesota,third,Unicorn,Candy Corn,118745
Missouri,first,Clown,Milky Way,44327
Missouri,second,Wonder Woman,Dubble Bubble Gum,35664
Missouri,third,Witch,Almond Joy,30657
Mississippi,first,Mouse,Snickers,96352
Mississippi,second,Clown,3 Musketeers,93227
Mississippi,third,Harley Quinn,Butterfinger,68683
Montana,first,Dinosaur,Dubble Bubble Gum,28736
